,x1,y1,x,y,angle,size
196,82,250,-96,-27,-2.8674252024701343,99.72462083156798
197,103,250,-67,-23,-2.8109137650133142,70.83784299369935
198,124,250,-99,-34,-2.801771777166927,105.00476179678711
199,145,250,-163,-51,-2.83835850126116,170.79227148791014
200,166,250,-89,-34,-2.766911453307017,95.63472172804185
201,187,250,-59,-21,-2.784680717238123,62.96824596572466
202,208,250,-28,-12,-2.7367008673047097,30.463092423455635
203,229,250,-31,-8,-2.8890383778117337,32.01562118716424
204,250,250,-24,-6,-2.8577985443814655,25.0
205,271,250,-6,-4,-2.62244653934327,8.06225774829855
206,292,250,-84,-39,-2.6971734436886945,93.03762679690406
207,313,250,-76,-44,-2.62244653934327,88.68483523128404
208,334,250,-97,-58,-2.602690602837341,113.01769772916099
209,355,250,-46,-36,-2.4775464907631086,58.412327466040935
210,376,250,-2,-3,-2.356194490192345,4.242640687119285
211,397,250,-5,-6,-2.356194490192345,8.48528137423857
212,418,250,-8,-9,-2.2455372690184494,12.806248474865697
213,439,250,-2,-4,-2.214297435588181,5.0
214,460,250,-2,-2,-2.356194490192345,2.8284271247461903
215,481,250,-3,-45,-1.659452208662334,45.17742799230607
216,502,250,1,-11,-1.3909428270024184,11.180339887498949
217,523,250,-1,-2,-2.0344439357957027,2.23606797749979
218,544,250,50,-97,-1.0867433871075525,109.59014554237986
219,565,250,19,-35,-1.073453610448074,39.824615503479755
220,586,250,1,-170,-1.5649484402410079,171.00292395160966
221,607,250,12,-34,-1.2315037123408519,36.05551275463989
222,40,271,-13,-13,-2.393214606066275,19.1049731745428
223,61,271,-76,-20,-2.872003575668867,78.84795495128583
224,82,271,-116,-33,-2.864431946256204,120.60265337047937
225,103,271,-198,-66,-2.819842099193151,208.71032557111303
226,124,271,-116,-40,-2.8095331860469077,122.70289320142373
227,145,271,-113,-31,-2.865632171604759,117.44360348695028
228,166,271,-55,-29,-2.642245931909663,62.64982043070834
229,187,271,-58,-15,-2.888517001425191,59.90826320300064
230,208,271,-96,-31,-2.8292462106732947,100.88111815399351
231,229,271,-72,-29,-2.746801533890032,78.0
232,250,271,-78,-33,-2.741351996555819,84.69356528095862
233,271,271,-22,-12,-2.6607053733944572,25.942243542145693
234,313,271,-6,-3,-2.677945044588987,6.708203932499369
235,334,271,-74,-32,-2.738311171870957,81.54140052758476
236,355,271,-72,-38,-2.6559705602923245,81.41252974819048
237,376,271,-57,-34,-2.590917102677542,66.88796603276258
238,397,271,-41,-31,-2.505754230066048,52.20153254455275
239,439,271,-1,1,2.356194490192345,1.4142135623730951
240,481,271,-3,-39,-1.6475682180646747,39.11521443121589
241,502,271,6,-12,-1.1071487177940904,13.416407864998739
242,523,271,20,-35,-1.0303768265243125,40.8166632639171
243,544,271,4,-13,-1.2036224929766774,13.92838827718412
244,565,271,12,-19,-1.0074800653029286,22.47220505424423
245,586,271,20,-105,-1.3843094251276797,107.8702924812944
246,607,271,5,-22,-1.3473197256542635,22.561028345356956
247,40,292,-28,-10,-2.7672590375822095,30.083217912982647
248,61,292,-98,-25,-2.8822609091891085,101.39033484509261
249,82,292,-118,-35,-2.8454775077148287,123.36936410632909
250,103,292,-103,-47,-2.7171406465160417,114.12712210513327
251,124,292,-93,-32,-2.8101960961254737,98.35141076771599
252,145,292,-90,-20,-2.922923707715851,92.19544457292888
253,166,292,-76,-20,-2.872003575668867,78.84795495128583
254,187,292,-110,-25,-2.9094888155146377,113.03096920755833
255,208,292,-133,-24,-2.9557907771613627,135.32922818075923
256,229,292,-108,-24,-2.922923707715851,110.63453348751464
257,250,292,-82,-21,-2.8908833941683842,84.64632301523794
258,271,292,-46,-15,-2.8068558162729786,48.703182647543684
259,292,292,-37,-19,-2.646040980103965,42.05948168962618
260,313,292,-12,-6,-2.677945044588987,13.416407864998739
261,355,292,-17,-9,-2.654693421778524,19.235384061671343
262,376,292,-27,-13,-2.6632402222111358,30.4138126514911
263,397,292,-31,-20,-2.5829933382462307,37.73592452822641
264,418,292,-70,-40,-2.611743584133727,81.12336284942828
265,439,292,-17,-12,-2.5269297016676275,20.808652046684813
266,481,292,-2,2,2.356194490192345,2.8284271247461903
267,502,292,0,-9,-1.5707963267948966,9.0
268,523,292,22,-26,-0.8685393952858895,34.058772731852805
269,544,292,27,-29,-0.8210972760767723,39.6232255123179
270,565,292,16,-13,-0.6823165548747481,20.615528128088304
271,586,292,-3,-40,-1.6456561745056635,40.11234224026316
272,607,292,15,-22,-0.9723774333163594,26.627053911388696
273,19,313,-5,-2,-2.761086276477428,5.385164807134504
274,40,313,-21,-13,-2.587285157388242,24.698178070456937
275,61,313,-74,-20,-2.8776289299640885,76.6550715869472
276,82,313,-102,-20,-2.947970660733848,103.94229168149026
277,103,313,-96,-44,-2.7157421610835515,106.51291001564083
278,124,313,-82,-30,-2.780151762696241,87.66413177577246
279,145,313,-58,-11,-2.9541635411461193,59.033888572581766
280,166,313,-30,-2,-3.0419240010986313,30.14962686336267
281,187,313,-38,-4,-3.0107652575157364,38.3275357934736
282,208,313,-15,-6,-2.782821983319221,17.08800749063506
283,250,313,-37,-4,-3.0072712116368248,37.33630940518894
284,271,313,-36,-3,-3.0309354324158977,36.22154055254967
285,292,313,-90,-17,-2.954903322775544,91.59148432032315
286,313,313,-61,-15,-2.88507604094547,63.06346010171025
287,334,313,-43,-11,-2.8911495639784413,44.384682042344295
288,355,313,-25,-7,-2.831889709047337,26.248809496813376
289,376,313,-23,-5,-2.9275319700259717,23.53720459187964
290,397,313,1,-1,-0.7853981633974483,1.4142135623730951
291,439,313,-27,-13,-2.692869309579072,29.966648127543394
292,523,313,6,-5,-0.7853981633974483,8.48528137423857
293,544,313,7,-6,-0.7853981633974483,9.899494936611665
294,565,313,26,-9,-0.3332443011116727,27.51363298439521
295,586,313,60,-56,-0.7509290623979403,82.07313811473277
296,607,313,9,-22,-1.1824776086224307,23.769728648009426
297,40,334,-64,-12,-2.9411940997639148,65.30696746902278
298,61,334,-92,-15,-2.97997129840678,93.2148056909416
299,82,334,-120,-36,-2.8425082419768355,125.57467897629681
300,103,334,-97,-22,-2.918561685218235,99.46356116689167
301,124,334,-182,-102,-2.62659835415879,209.124364912365
302,145,334,-106,-20,-2.9568090376199687,108.85311203635843
303,166,334,-60,-11,-2.9441970937399127,61.18823416311342
304,187,334,-42,3,3.070285188804503,42.1070065428546
305,208,334,-22,-7,-2.7928216500058864,23.40939982143925
306,229,334,-32,-19,-2.6057814156293295,37.21558813185679
307,250,334,-53,-5,-3.047531418961807,53.23532661682466
308,271,334,-65,-13,-2.9294489005853177,66.49060083951716
309,292,334,-60,-5,-3.0419240010986313,60.29925372672534
