,x1,y1,x,y,angle,size
183,187,82,37,-9,-0.23860932250820097,38.07886552931954
184,208,82,27,-9,-0.3217505543966422,28.460498941515414
185,229,82,23,5,0.21406068356382152,23.53720459187964
186,250,82,20,-5,-0.24497866312686414,20.615528128088304
187,271,82,33,-13,-0.40122879900484876,35.84689665786984
188,292,82,13,-2,-0.15264932839526515,13.152946437965905
189,313,82,11,2,0.17985349979247828,11.180339887498949
190,334,82,25,0,0.0,25.0
191,355,82,15,-1,-0.06656816377582381,15.033296378372908
192,376,82,13,2,0.15264932839526515,13.152946437965905
193,397,82,11,4,0.348771003583907,11.704699910719626
194,418,82,21,3,0.18822150530477075,21.37755832643195
195,439,82,17,5,0.2860514417173182,17.72004514666935
196,460,82,-7,-120,-1.62906362976443,120.20399327809372
197,481,82,-32,-386,-1.6535087422430697,387.3241536491108
198,502,82,9,-183,-1.5216555923788764,183.22117781522965
199,523,82,26,-25,-0.7469555733762603,36.796738985948195
200,544,82,19,-20,-0.8110335719191258,27.586228448267445
201,565,82,14,-37,-1.1856388204314225,39.92492955535426
202,586,82,1,-8,-1.3258176636680326,8.246211251235321
203,607,82,0,-40,-1.5707963267948966,40.0
204,628,82,-30,97,1.8801251598695836,101.83319694480774
205,649,82,-4,11,1.9974238199217726,12.083045973594572
206,670,82,-5,47,1.695151321341658,48.373546489791295
207,691,82,1,17,1.4536875822280324,17.11724276862369
208,712,82,-10,-86,-1.6865555445157074,86.57944328765345
209,733,82,-5,-9,-2.158798930342464,10.816653826391969
210,754,82,4,37,1.4364748848419282,37.33630940518894
211,775,82,-5,-14,-1.9513027039072615,16.15549442140351
212,796,82,-21,-161,-1.7004988639508087,162.36378906640482
213,817,82,-21,-299,-1.64091529677491,299.7365509910328
214,838,82,1,-125,-1.554797691918553,125.01599897613104
215,859,82,9,-154,-1.5124211664132807,154.26276284314372
216,880,82,3,-22,-1.4352686128093959,22.20360331117452
217,943,82,0,-2,-1.5707963267948966,2.0
218,964,82,-2,-1,-2.677945044588987,2.23606797749979
219,985,82,-22,-25,-2.292451177659658,33.301651610693426
220,1006,82,-30,-47,-2.138901059269324,55.758407437802596
221,1027,82,-78,-96,-2.2480466740396823,124.47088012864695
222,1048,82,-64,-106,-2.1139859030827246,123.82245353731285
223,1069,82,-41,-1,-3.1172072444170746,41.012193308819754
224,1090,82,-37,-17,-2.6888141817662574,41.14608122288197
225,1111,82,-33,-9,-2.875340604438868,34.20526275297414
226,1132,82,-21,-13,-2.587285157388242,24.698178070456937
227,1153,82,20,24,0.8960553845713439,32.01562118716424
228,1174,82,20,75,1.3101939350475555,77.62087348130012
229,1195,82,-30,2,3.0451188784072065,31.144823004794873
230,1216,82,-81,-36,-2.723368324010564,88.63972021616495
231,1237,82,-76,-22,-2.8477233185573256,79.40403012442127
232,1258,82,-95,-54,-2.616796881939686,109.77249200050075
233,19,103,24,-8,-0.3217505543966422,25.298221281347036
234,40,103,9,-11,-0.8850668158886104,14.212670403551895
235,61,103,-15,-3,-2.8809902618424523,15.524174696260024
236,82,103,2,3,0.982793723247329,3.605551275463989
237,103,103,3,-1,-0.3217505543966422,3.1622776601683795
238,124,103,2,22,1.4801364395941514,22.090722034374522
239,145,103,-25,68,1.9231050514690384,72.44998274671983
240,166,103,-7,26,1.8337910584758161,26.92582403567252
241,460,103,-8,-87,-1.6738779353175968,87.46427842267951
242,481,103,-79,-420,-1.7562876870864677,428.3479893731264
243,502,103,1,-229,-1.5664295423244903,229.00218339570478
244,523,103,1,-34,-1.512040504079174,34.058772731852805
245,544,103,-1,-15,-1.6373644905707205,15.033296378372908
246,565,103,-5,-17,-1.9100889412489412,18.027756377319946
247,586,103,-4,-34,-1.687905071361761,34.23448553724738
248,607,103,0,4,1.3258176636680326,4.123105625617661
249,628,103,-26,67,1.9409671546371132,71.8679344353238
250,649,103,0,35,1.5993599846336566,35.014282800023196
251,670,103,0,35,1.5993599846336566,35.014282800023196
252,691,103,-6,50,1.690225252813235,50.35871324805669
253,712,103,-8,-98,-1.6514292027400705,99.32270636667126
254,733,103,-9,-27,-1.892546881191539,28.460498941515414
255,754,103,-4,66,1.6464094700317264,66.18912297349165
256,775,103,-7,-52,-1.7046073042694874,52.46903848937962
257,796,103,-6,-160,-1.6080461692901014,161.11176245079065
258,817,103,-14,-71,-1.7654818661788465,72.3671196055225
